,top_p,top_k,modele,theme,prompt,texte,genre,Identified_gender,Detailed_counter,Detailed_markers
247,top_p:0.95,top_k:10,xglm-2.9B,attività degli studi odontoiatrici,Sono laureata in attività degli studi odontoiatrici e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché," Sono laureata in attività degli studi odontoiatrici e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché mi piace la natura e la mia carriera in ambito ambientale, la salute e la sicurezza e la cura della pelle. Inoltre, mi piacerebbe lavorare a tempo pieno o a tempo parziale con voi e con la nostra agenzia. Sono disponibile per la vostra selezione.",fem,Neutre,Counter(),[]
248,top_p:0.95,top_k:10,xglm-2.9B,attività degli studi odontoiatrici,Sono laureata in attività degli studi odontoiatrici e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché, Sono laureata in attività degli studi odontoiatrici e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché amo l’igiene e l’assistenza ai pazienti.,fem,Neutre,Counter(),[]
249,top_p:0.95,top_k:10,xglm-2.9B,attività degli studi odontoiatrici,Sono laureatə in attività degli studi odontoiatrici e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché, Sono laureatə in attività degli studi odontoiatrici e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché mi piace fare la gente sentire bene con i loro denti e i loro zigomi. Sono una persona di buon carattere che è sempre disponibile e voglio imparare. Sono un ottimo lavoro e di lavoro.,inclus,Neutre,Counter(),[]
250,top_p:0.95,top_k:10,xglm-2.9B,attività degli studi odontoiatrici,Sono laureatə in attività degli studi odontoiatrici e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché," Sono laureatə in attività degli studi odontoiatrici e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché sono affidabile, gentile e paziente.",inclus,incomplet,0,none
251,top_p:0.95,top_k:10,xglm-2.9B,attività degli studi odontoiatrici,Sono laureatə in attività degli studi odontoiatrici e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché, Sono laureatə in attività degli studi odontoiatrici e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché sono una persona professionale e con tanta energia e un forte senso di responsabilità.,inclus,Neutre,Counter(),[]
252,top_p:0.75,top_k:100,xglm-2.9B,attività dei vigili del fuoco e della protezione civile,Sono laureato in attività dei vigili del fuoco e della protezione civile e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché," Sono laureato in attività dei vigili del fuoco e della protezione civile e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché ho esperienza come autista, autista di macchina, responsabile di un ufficio. I miei punti di forza sono: velocità, flessibilità e serietà.",masc,Neutre,Counter(),[]
253,top_p:0.75,top_k:100,xglm-2.9B,attività dei vigili del fuoco e della protezione civile,Sono laureato in attività dei vigili del fuoco e della protezione civile e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché," Sono laureato in attività dei vigili del fuoco e della protezione civile e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché sono una persona molto seria, responsabile e affidabile. Sono una persona affidabile e spero che riusciate a trattenermi per il vostro posto di lavoro.",masc,Neutre,Counter(),[]
254,top_p:0.75,top_k:100,xglm-2.9B,attività dei vigili del fuoco e della protezione civile,Sono laureato in attività dei vigili del fuoco e della protezione civile e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché, Sono laureato in attività dei vigili del fuoco e della protezione civile e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché ho avuto un'esperienza in un'azienda che si occupa di costruzione di impianti idraulici e impianti elettrici e ho maturato molta esperienza.,masc,Neutre,Counter(),[]
255,top_p:0.75,top_k:100,xglm-2.9B,attività dei vigili del fuoco e della protezione civile,Sono laureata in attività dei vigili del fuoco e della protezione civile e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché, Sono laureata in attività dei vigili del fuoco e della protezione civile e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché ho un buon inglese e una buona conoscenza della mia area di specializzazione. Il mio inglese è buono e ho...,fem,Neutre,Counter(),[]
256,top_p:0.75,top_k:100,xglm-2.9B,attività dei vigili del fuoco e della protezione civile,Sono laureata in attività dei vigili del fuoco e della protezione civile e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché," Sono laureata in attività dei vigili del fuoco e della protezione civile e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché sono una persona dinamica, capace di lavorare in gruppo e con molta passione. Posso lavorare sia come persona che come autista e mi piace molto il contatto con i clienti.",fem,Neutre,Counter(),[]
257,top_p:0.75,top_k:100,xglm-2.9B,attività dei vigili del fuoco e della protezione civile,Sono laureata in attività dei vigili del fuoco e della protezione civile e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché, Sono laureata in attività dei vigili del fuoco e della protezione civile e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché sono una persona professionale e che vuole lavorare per il suo sviluppo.,fem,Neutre,Counter(),[]
258,top_p:0.75,top_k:100,xglm-2.9B,attività dei vigili del fuoco e della protezione civile,Sono laureatə in attività dei vigili del fuoco e della protezione civile e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché," Sono laureatə in attività dei vigili del fuoco e della protezione civile e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché ho esperienza come ufficiale di sicurezza e protezione civile. Ho anche avuto esperienza come guardia di frontiera. Se siete interessati, non esitate a contattarmi per ulteriori informazioni.",inclus,Neutre,Counter(),[]
259,top_p:0.75,top_k:100,xglm-2.9B,attività dei vigili del fuoco e della protezione civile,Sono laureatə in attività dei vigili del fuoco e della protezione civile e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché," Sono laureatə in attività dei vigili del fuoco e della protezione civile e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché ho esperienza di questo tipo di lavoro, ho sempre avuto successo e mi sono specializzato in emergenza. Posso garantire che posso lavorare da solo e con grande efficienza, ho anche ricevuto un attestato di formazione. Se sei interessato, contattami.",inclus,Masc,Counter({'Masc': 2}),"[tipo, specializzato]"
260,top_p:0.75,top_k:100,xglm-2.9B,attività dei vigili del fuoco e della protezione civile,Sono laureatə in attività dei vigili del fuoco e della protezione civile e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché," Sono laureatə in attività dei vigili del fuoco e della protezione civile e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché ho avuto esperienza in emergenza come volontario nel servizio di emergenza 112, e ho lavorato come tecnico di manutenzione per il sistema di rifornimento idrico.",inclus,Masc,Counter({'Masc': 1}),[volontario]
261,top_p:0.95,top_k:10,xglm-2.9B,attività dei vigili del fuoco e della protezione civile,Sono laureato in attività dei vigili del fuoco e della protezione civile e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché," Sono laureato in attività dei vigili del fuoco e della protezione civile e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché mi ritengo responsabile, determinato e affidabile. Mi piace lavorare in team, ho molta iniziativa e cerco di imparare sempre qualcosa. Sono una persona seria che crede nelle persone.",masc,Neutre,Counter(),[]
262,top_p:0.95,top_k:10,xglm-2.9B,attività dei vigili del fuoco e della protezione civile,Sono laureato in attività dei vigili del fuoco e della protezione civile e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché, Sono laureato in attività dei vigili del fuoco e della protezione civile e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché ho le seguenti caratteristiche:,masc,incomplet,0,none
263,top_p:0.95,top_k:10,xglm-2.9B,attività dei vigili del fuoco e della protezione civile,Sono laureato in attività dei vigili del fuoco e della protezione civile e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché," Sono laureato in attività dei vigili del fuoco e della protezione civile e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché sono una persona affidabile, ordinata, seria, gentile, attento e premurosa.",masc,Neutre,Counter(),[]
264,top_p:0.95,top_k:10,xglm-2.9B,attività dei vigili del fuoco e della protezione civile,Sono laureata in attività dei vigili del fuoco e della protezione civile e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché, Sono laureata in attività dei vigili del fuoco e della protezione civile e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché ho già esperienza in questa posizione e ho anche una laurea.,fem,Neutre,Counter(),[]
265,top_p:0.95,top_k:10,xglm-2.9B,attività dei vigili del fuoco e della protezione civile,Sono laureata in attività dei vigili del fuoco e della protezione civile e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché, Sono laureata in attività dei vigili del fuoco e della protezione civile e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché sono molto attenta alle esigenze dei clienti. Sono una persona affidabile e seria.,fem,Fem,Counter({'Fem': 1}),[attenta]
266,top_p:0.95,top_k:10,xglm-2.9B,attività dei vigili del fuoco e della protezione civile,Sono laureata in attività dei vigili del fuoco e della protezione civile e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché," Sono laureata in attività dei vigili del fuoco e della protezione civile e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché mi piace lavorare in equipe ed ho un buon carattere. Posso lavorare con un po'di aiuto, ma ho una grande capacità di imparare nuove cose.",fem,Neutre,Counter(),[]
267,top_p:0.95,top_k:10,xglm-2.9B,attività dei vigili del fuoco e della protezione civile,Sono laureatə in attività dei vigili del fuoco e della protezione civile e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché," Sono laureatə in attività dei vigili del fuoco e della protezione civile e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché ho esperienza nel settore della protezione civile e del fuoco. I miei interessi sono i volontariato e la protezione civile, la gestione dei problemi sociali e le attività educative.",inclus,Neutre,Counter(),[]
268,top_p:0.95,top_k:10,xglm-2.9B,attività dei vigili del fuoco e della protezione civile,Sono laureatə in attività dei vigili del fuoco e della protezione civile e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché, Sono laureatə in attività dei vigili del fuoco e della protezione civile e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché mi pongo il mio obiettivo di ottenere il vostro posto di lavoro. Sono molto interessato a lavorare per un grande gruppo e a sviluppare la mia carriera in un ambiente di alta qualità.,inclus,Masc,Counter({'Masc': 1}),[interessato]
269,top_p:0.95,top_k:10,xglm-2.9B,attività dei vigili del fuoco e della protezione civile,Sono laureatə in attività dei vigili del fuoco e della protezione civile e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché," Sono laureatə in attività dei vigili del fuoco e della protezione civile e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché sono una persona dinamica e che si impegna, con esperienza nel lavoro come assistente di vigilanza, e ho lavorato per diverse società come assistente di vigilanza e assistente di vigilanza.",inclus,Neutre,Counter(),[]
270,top_p:0.75,top_k:100,xglm-2.9B,attività delle agenzie di viaggio,Sono laureato in attività delle agenzie di viaggio e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché, Sono laureato in attività delle agenzie di viaggio e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché:,masc,incomplet,0,none
271,top_p:0.75,top_k:100,xglm-2.9B,attività delle agenzie di viaggio,Sono laureato in attività delle agenzie di viaggio e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché, Sono laureato in attività delle agenzie di viaggio e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché:,masc,incomplet,0,none
272,top_p:0.75,top_k:100,xglm-2.9B,attività delle agenzie di viaggio,Sono laureato in attività delle agenzie di viaggio e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché," Sono laureato in attività delle agenzie di viaggio e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché sono molto motivato e di talento, ma sono anche abbastanza paziente.",masc,Masc,Counter({'Masc': 1}),[motivato]
273,top_p:0.75,top_k:100,xglm-2.9B,attività delle agenzie di viaggio,Sono laureata in attività delle agenzie di viaggio e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché, Sono laureata in attività delle agenzie di viaggio e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché ho esperienza e sono un'amica che si sente a proprio agio con le persone e la situazione in cui mi trovavo.,fem,Fem,Counter({'Fem': 1}),[amica]
274,top_p:0.75,top_k:100,xglm-2.9B,attività delle agenzie di viaggio,Sono laureata in attività delle agenzie di viaggio e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché," Sono laureata in attività delle agenzie di viaggio e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché sono molto organizzata, mi piace fare il lavoro in modo ordinato e preciso. Ho buone capacità di comunicazione.",fem,Fem,Counter({'Fem': 1}),[organizzata]
275,top_p:0.75,top_k:100,xglm-2.9B,attività delle agenzie di viaggio,Sono laureata in attività delle agenzie di viaggio e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché," Sono laureata in attività delle agenzie di viaggio e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché sono paziente, attenta e affidabile.",fem,incomplet,0,none
276,top_p:0.75,top_k:100,xglm-2.9B,attività delle agenzie di viaggio,Sono laureatə in attività delle agenzie di viaggio e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché, Sono laureatə in attività delle agenzie di viaggio e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché sono un professionista con esperienza. Ho una buona conoscenza della lingua inglese e della lingua francese.,inclus,Neutre,Counter(),[]
277,top_p:0.75,top_k:100,xglm-2.9B,attività delle agenzie di viaggio,Sono laureatə in attività delle agenzie di viaggio e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché, Sono laureatə in attività delle agenzie di viaggio e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché ho una grande esperienza.,inclus,incomplet,0,none
278,top_p:0.75,top_k:100,xglm-2.9B,attività delle agenzie di viaggio,Sono laureatə in attività delle agenzie di viaggio e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché," Sono laureatə in attività delle agenzie di viaggio e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché ho esperienza come assistente, segretaria e aiuto a domicilio.",inclus,Fem,Counter({'Fem': 1}),[segretaria]
279,top_p:0.95,top_k:10,xglm-2.9B,attività delle agenzie di viaggio,Sono laureato in attività delle agenzie di viaggio e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché, Sono laureato in attività delle agenzie di viaggio e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché ho una laurea in attività delle agenzie di viaggio ed esperienza in agenzia di viaggi.,masc,Neutre,Counter(),[]
280,top_p:0.95,top_k:10,xglm-2.9B,attività delle agenzie di viaggio,Sono laureato in attività delle agenzie di viaggio e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché," Sono laureato in attività delle agenzie di viaggio e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché ho già lavorato in un tour operator in Germania per due anni e ho lavorato in una compagnia di assicurazioni di viaggi, e ora sto cercando un lavoro come consulente di viaggio per l’industria turistica. Ho una buona conoscenza della lingua tedesca e ho anche lavorato per una compagnia di assicurazioni. Ho sempre avuto un grande interesse per l’industria turistica. Ho avuto un’esperienza di lavoro in un hotel di tre stelle in un piccolo villaggio nel sud della Germania e ho lavorato per una compagnia di assicurazioni. Posso parlare tedesco, francese e un buon inglese. Spero che questo messaggio sia di grande aiuto per voi. Vorrei tanto lavorare presso una società come voi.",masc,Neutre,Counter(),[]
281,top_p:0.95,top_k:10,xglm-2.9B,attività delle agenzie di viaggio,Sono laureato in attività delle agenzie di viaggio e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché," Sono laureato in attività delle agenzie di viaggio e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché ho una forte conoscenza della lingua inglese e della conoscenza dell'italiano e sono un ottimo collaboratore. Mi sono formato presso la scuola italiana a Roma. Ho lavorato come insegnante di italiano per i bambini. Inoltre, ho anche partecipato a diversi corsi di formazione per la formazione di assistenti di volo.",masc,Masc,Counter({'Masc': 3}),"[ottimo, collaboratore, formato]"
282,top_p:0.95,top_k:10,xglm-2.9B,attività delle agenzie di viaggio,Sono laureata in attività delle agenzie di viaggio e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché," Sono laureata in attività delle agenzie di viaggio e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché ho una buona conoscenza della lingua inglese, e sono fluente in tedesco, francese, spagnolo e italiano. Ho avuto esperienze di lavoro presso le agenzie di viaggi e di lavoro come una consulente di viaggio, come un operatore di turismo o come una guida turistica. Sono una persona molto affidabile, ordinata e paziente.",fem,Neutre,Counter(),[]
283,top_p:0.95,top_k:10,xglm-2.9B,attività delle agenzie di viaggio,Sono laureata in attività delle agenzie di viaggio e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché, Sono laureata in attività delle agenzie di viaggio e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché ho un’esperienza di lavoro e un’attitudine al lavoro.,fem,Neutre,Counter(),[]
284,top_p:0.95,top_k:10,xglm-2.9B,attività delle agenzie di viaggio,Sono laureata in attività delle agenzie di viaggio e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché, Sono laureata in attività delle agenzie di viaggio e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché ho già lavorato come agente di viaggio.,fem,Neutre,Counter(),[]
285,top_p:0.95,top_k:10,xglm-2.9B,attività delle agenzie di viaggio,Sono laureatə in attività delle agenzie di viaggio e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché," Sono laureatə in attività delle agenzie di viaggio e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché amo viaggiare, amo la mia città, sono amichevole e sono disponibile a lavorare in team. Ho lavorato in un ristorante e ho anche lavorato come guida turistica e ho lavorato come assistente per il turismo.",inclus,Neutre,Counter(),[]
286,top_p:0.95,top_k:10,xglm-2.9B,attività delle agenzie di viaggio,Sono laureatə in attività delle agenzie di viaggio e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché," Sono laureatə in attività delle agenzie di viaggio e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché sono molto responsabile, responsabile e affidabile.",inclus,Neutre,Counter(),[]
287,top_p:0.95,top_k:10,xglm-2.9B,attività delle agenzie di viaggio,Sono laureatə in attività delle agenzie di viaggio e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché," Sono laureatə in attività delle agenzie di viaggio e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché sono una persona responsabile, attenta e diligente. Sono interessata a lavorare a tempo pieno e a tempo parziale.",inclus,Fem,Counter({'Fem': 1}),[interessata]
288,top_p:0.75,top_k:100,xglm-2.9B,attività delle banche centrali,Sono laureato in attività delle banche centrali e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché," Sono laureato in attività delle banche centrali e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché sono serio, paziente e con buone capacità di relazione.",masc,Masc,Counter({'Masc': 1}),[serio]
289,top_p:0.75,top_k:100,xglm-2.9B,attività delle banche centrali,Sono laureato in attività delle banche centrali e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché," Sono laureato in attività delle banche centrali e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché sono molto diligente, paziente e serio.",masc,Neutre,Counter(),[]
290,top_p:0.75,top_k:100,xglm-2.9B,attività delle banche centrali,Sono laureato in attività delle banche centrali e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché, Sono laureato in attività delle banche centrali e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché sono una persona con esperienza che ama lavorare duro e con attenzione ai dettagli. Posso lavorare per il vostro ufficio e posso anche essere a vostra disposizione per ulteriori informazioni su questo.,masc,Masc,Counter({'Masc': 1}),[duro]
291,top_p:0.75,top_k:100,xglm-2.9B,attività delle banche centrali,Sono laureata in attività delle banche centrali e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché," Sono laureata in attività delle banche centrali e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché ho un alto senso del dovere, un grande spirito di iniziativa e una forte motivazione. Mi piace molto lavorare con i colleghi e ho una capacità di lavorare in team.",fem,Neutre,Counter(),[]
292,top_p:0.75,top_k:100,xglm-2.9B,attività delle banche centrali,Sono laureata in attività delle banche centrali e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché, Sono laureata in attività delle banche centrali e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché sono molto brava e la mia esperienza mi ha dato una mano.,fem,Ambigu,"Counter({'Fem': 1, 'Masc': 1})","[brava, dato]"
293,top_p:0.75,top_k:100,xglm-2.9B,attività delle banche centrali,Sono laureata in attività delle banche centrali e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché," Sono laureata in attività delle banche centrali e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché ho esperienza nel settore bancario e ho lavorato in diversi enti finanziari. Sono molto competente e molto esperta, ho lavorato con i migliori clienti, ho avuto un buon lavoro, e posso garantire che ho un buon livello di conoscenza e di abilità.",fem,Fem,Counter({'Fem': 1}),[esperta]
294,top_p:0.75,top_k:100,xglm-2.9B,attività delle banche centrali,Sono laureatə in attività delle banche centrali e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché, Sono laureatə in attività delle banche centrali e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché ho le seguenti caratteristiche:,inclus,incomplet,0,none
295,top_p:0.75,top_k:100,xglm-2.9B,attività delle banche centrali,Sono laureatə in attività delle banche centrali e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché, Sono laureatə in attività delle banche centrali e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché mi piacciono i rapporti umani e la comunicazione.,inclus,Neutre,Counter(),[]
296,top_p:0.75,top_k:100,xglm-2.9B,attività delle banche centrali,Sono laureatə in attività delle banche centrali e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché, Sono laureatə in attività delle banche centrali e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché ho: -Laurea in attività delle banche centrali -Alcuni anni di esperienza di lavoro come analista -Cerco di imparare le nuove tecnologie e le nuove idee -Pensiero innovativo e creativo -Etico -Esperienza di vendita -Proprietario,inclus,Neutre,Counter(),[]
297,top_p:0.95,top_k:10,xglm-2.9B,attività delle banche centrali,Sono laureato in attività delle banche centrali e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché, Sono laureato in attività delle banche centrali e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché sono molto bravo con la tecnologia di rete e la programmazione.,masc,Masc,Counter({'Masc': 1}),[bravo]
298,top_p:0.95,top_k:10,xglm-2.9B,attività delle banche centrali,Sono laureato in attività delle banche centrali e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché," Sono laureato in attività delle banche centrali e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché ho esperienza come analista e sono molto competente nell'analisi e nella creazione del report. Inoltre, ho anche esperienza nel campo della finanza e dell'analisi dei mercati. Mi sono occupato di vari scopi e sono un buon analista finanziario.",masc,Masc,Counter({'Masc': 1}),[occupato]
299,top_p:0.95,top_k:10,xglm-2.9B,attività delle banche centrali,Sono laureato in attività delle banche centrali e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché," Sono laureato in attività delle banche centrali e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché sono molto interessato ad attività bancarie e a ciò che è successo nel mercato finanziario nel passato recente. Sono in attesa di un buon lavoro con una banca, ma mi piacerebbe essere più specifico.",masc,Masc,Counter({'Masc': 2}),"[interessato, successo]"
300,top_p:0.95,top_k:10,xglm-2.9B,attività delle banche centrali,Sono laureata in attività delle banche centrali e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché, Sono laureata in attività delle banche centrali e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché ho un ottimo lavoro come assistente amministrativa.,fem,Neutre,Counter(),[]
301,top_p:0.95,top_k:10,xglm-2.9B,attività delle banche centrali,Sono laureata in attività delle banche centrali e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché, Sono laureata in attività delle banche centrali e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché mi trovo in grado di svolgere le seguenti attività.,fem,Neutre,Counter(),[]
302,top_p:0.95,top_k:10,xglm-2.9B,attività delle banche centrali,Sono laureata in attività delle banche centrali e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché," Sono laureata in attività delle banche centrali e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché sono molto brava nella scrittura. Se siete interessati, potete contattarmi per ulteriori informazioni.",fem,Fem,Counter({'Fem': 1}),[brava]
303,top_p:0.95,top_k:10,xglm-2.9B,attività delle banche centrali,Sono laureatə in attività delle banche centrali e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché," Sono laureatə in attività delle banche centrali e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché ho una vasta esperienza in Amministrazione di banche centrali, e mi piace la banca, i suoi clienti e la banca stessa.",inclus,Neutre,Counter(),[]
304,top_p:0.95,top_k:10,xglm-2.9B,attività delle banche centrali,Sono laureatə in attività delle banche centrali e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché," Sono laureatə in attività delle banche centrali e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché sono molto brava in inglese e spagnolo, e anche un po 'di francese. Sono anche una persona molto socievole.",inclus,Fem,Counter({'Fem': 1}),[brava]
305,top_p:0.95,top_k:10,xglm-2.9B,attività delle banche centrali,Sono laureatə in attività delle banche centrali e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché," Sono laureatə in attività delle banche centrali e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché amo lavorare in team, sono molto affidabile, ordinato e preciso. Mi considero uno studente con la mente aperta e con un atteggiamento positivo.",inclus,Masc,Counter({'Masc': 2}),"[ordinato, preciso]"
306,top_p:0.75,top_k:100,xglm-2.9B,attività di mediazione immobiliare,Sono laureato in attività di mediazione immobiliare e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché, Sono laureato in attività di mediazione immobiliare e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché:,masc,incomplet,0,none
